0,IUPAC_name,official_name,aliases,designated_date_ja,pubchem_cid,inchi_key,effective_date,gazette_date,source_link
133,"4-(shikuropuropirukaruboniru)-N- mechiru-N-(puropan-2-iru)-7 -mechiru-4,6,6a,7,8,9-heki sahidoroindoro[4,3-fg]kinorin- 9-karubokisamido",1cP-MiPLA,,令和7年1月27日,,,,,
134,"2-(cyclohexylamineo)-1-(3, 4-mechirenjiokishiphenyl)butan- 1-on",N-Cyclohexylbutylone;  Cybutylone,,令和5年10月26日,,,,,
135,"2-cyclohexylamineo-1-(3,4 -mechirenjiokishiphenyl)puropan -1-on",Cyputylone N-Cyclohexylmethylone,,令和7年7月3日,,,,,
136,2-cyclohexyl-1-phenyl-2 -(pirorijin-1-iru)etan-1- on,α-PCYP,,令和3年8月25日,,,,,
137,2-[1-(cyclohexylmechiru)-1H -indazo-ru-3-karubokisamido] -3-mechirubutan酸,CHMINACA-BA,,平成26年9月19日,,,,,
138,[1-(cyclohexylmechiru)-1H- indo-ru-3-iru](nafutaren-1 -iru)metanon,NE-CHMIMO;  JWH-018 cyclohexylmethyl derivative,,令和元年11月14日,,,,,
139,[1-(cyclohexylmechiru)-1H- indo-ru-3-iru](4-methoxyna futaren-1-iru)metanon 類,CHM-081(JWH-081 cyclohexylmethyl derivative),,令和2年8月26日,,,,,
140,"5-(cyclohexylmechiru)-2-(2 -phenylpuropan-2-iru)-2,5 -jihidoro-1H-pirido[4,3-b]in do-ru-1-on",CUMYL-CH-MEGACLONE,,令和4年1月19日,,,,,
141,"1-(2,3-jikurorophenyl)piperaji n","2, 3-DCPP",,平成25年4月30日,,,,,
142,"2-(3,4-jikurorophenyl)-2- (piperijin-2-iru) acetatemechiruesu teru","3, 4-Dichloromethylphenidate",,平成26年3月6日,,,,,
143,"4-(3,4-jikurorophenyl)-7-me tokishi-2-mechiru-1,2,3,4-teto rahidoroisokinorin",Diclofensine,,平成26年8月15日,,,,,
144,"1-(2,3-jihidorobenzofuran-5- iru)-2-(pirorijin-1-iru)pe ntan-1-on",5-DBFPV,,平成26年11月18日,,,,,
145,"1-(2,3-jihidorobenzofuran-5- iru)puropan-2-amine 類",5-APDB,,平成26年3月6日,,,,,
146,"1-(2,3-jihidorobenzofuran-6- iru)puropan-2-amine 類",6-APDB,,平成27年9月16日,,,,,
147,"1-(2,3-jihidorobenzofuran-5- iru)-N-mechirupuropan-2-ami n",5-MAPDB,,平成27年11月25日,,,,,
148,"1,2-jiphenyl-2-(pirorijin- 1-iru)etan-1-on 類",α-D2PV;  A-D2PV,,令和4年3月7日,,,,,
149,jiphenyl(pirorijin-2-iru)meta no-ru,Diphenylprolinol;  D2PM,,平成21年10月21日,,,,,
150,2-(jiphenylmechiru)piperijin及び その salts,2-DPMP;  Desoxypipradrol,,平成28年4月8日,,,,,
